OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,SalePrice
7,1710,2,548,856,856,208500
6,1262,2,460,1262,1262,181500
7,1786,2,608,920,920,223500
7,1717,3,642,756,961,140000
8,2198,3,836,1145,1145,250000
5,1362,2,480,796,796,143000
8,1694,2,636,1686,1694,307000
7,2090,2,484,1107,1107,200000
7,1774,2,468,952,1022,129900
5,1077,1,205,991,1077,118000
5,1040,1,384,1040,1040,129500
9,2324,3,736,1175,1182,345000
5,912,1,352,912,912,144000
7,1494,3,840,1494,1494,279500
6,1253,1,352,1253,1253,157000
7,854,2,576,832,854,132000
6,1004,2,480,1004,1004,149000
4,1296,2,516,0,1296,90000
5,1114,2,576,1114,1114,159000
5,1339,1,294,1029,1339,139000
8,2376,3,853,1158,1158,325300
7,1108,1,280,637,1108,139400
8,1795,2,534,1777,1795,230000
5,1060,2,572,1040,1060,129900
5,1060,1,270,1060,1060,154000
8,1600,3,890,1566,1600,256300
5,900,2,576,900,900,134800
8,1704,3,772,1704,1704,306000
5,1600,1,319,1484,1600,207500
4,520,1,240,520,520,68500
4,1317,1,250,649,649,40000
5,1228,1,271,1228,1228,149350
8,1234,2,484,1234,1234,179900
5,1700,2,447,1398,1700,165500
9,1561,2,556,1561,1561,277500
8,2452,3,691,1117,1132,309000
5,1097,2,672,1097,1097,145000
5,1297,2,498,1297,1297,153000
5,1057,1,246,1057,1057,109000
4,1152,0,0,0,1152,82000
6,1324,2,440,1088,1324,160000
5,1328,1,308,1350,1328,170000
5,884,2,504,840,884,144000
5,938,1,308,938,938,130250
5,1150,1,300,1150,1150,141000
9,1752,2,576,1752,1752,319900
7,2149,2,670,1434,1518,239686
8,1656,3,826,1656,1656,249700
4,1452,0,0,736,736,113000
5,955,1,386,955,955,127000
6,1470,2,388,794,794,177000
6,1176,2,528,816,816,114500
5,816,2,516,816,816,110000
9,1842,3,894,1842,1842,385000
5,1360,2,572,384,1360,130000
6,1425,2,576,1425,1425,180500
8,1739,2,480,970,983,172500
7,1720,2,565,860,860,196500
10,2945,3,641,1410,1426,438780
5,780,1,352,780,780,124900
6,1158,2,576,1158,1158,158000
5,1111,1,288,530,581,101000
8,1370,2,484,1370,1370,202500
7,1710,2,480,576,902,140000
7,2034,2,645,1057,1057,219500
8,2473,3,852,1143,1143,317000
7,2207,2,576,1947,2207,180000
7,1479,2,558,1453,1479,226000
4,747,1,220,747,747,80000
7,2287,2,667,1304,1304,225000
7,2223,2,516,2223,2223,244000
4,845,2,360,845,845,129500
7,1718,2,427,832,885,185000
5,1086,2,490,1086,1086,144900
3,1605,1,379,840,840,107400
4,988,1,297,462,526,91000
4,952,1,283,952,952,135750
5,1285,1,240,672,1072,127000
4,1768,0,0,1768,1768,136500
5,1230,2,440,440,682,110000
6,2142,1,509,896,1182,193500
6,1337,2,405,1237,1337,153500
8,1563,3,758,1563,1563,245000
5,1065,2,461,1065,1065,126500
7,1474,2,400,384,804,168500
8,2417,2,462,1288,1301,260000
6,1560,2,400,684,684,174000
6,1224,2,528,612,612,164500
3,1526,0,0,1013,1013,85000
4,990,0,0,990,990,123600
4,1040,2,420,0,1040,109900
5,1235,2,480,1235,1235,98600
5,964,2,432,876,964,163500
6,2291,2,506,1214,1260,133900
6,1786,2,684,824,905,204750
6,1470,2,420,680,680,185000
7,1588,2,472,1588,1588,214000
4,960,1,432,960,960,94750
5,835,1,366,458,835,83000
4,1225,0,0,950,1225,128950
6,1610,2,480,1610,1610,205000
6,1732,2,476,741,977,178000
5,1535,2,410,0,1535,118964
7,1226,3,740,1226,1226,198900
7,1818,1,240,1040,1226,169500
8,1992,2,648,1053,1053,250000
4,1047,1,273,641,1047,100000
5,789,1,250,789,789,115000
5,1517,0,0,793,997,115000
6,1844,2,546,1844,1844,190000
6,1855,1,325,994,1216,136900
7,1430,2,400,384,774,180000
7,2696,3,792,1264,1282,383970
6,2259,2,450,1809,2259,217000
6,2320,1,180,1028,1436,259500
6,1458,2,440,729,729,176000
5,1092,1,288,1092,1092,139000
5,1125,2,430,1125,1125,155000
7,3222,3,594,1673,1699,320000
6,1456,2,390,728,728,163990
6,988,2,540,938,988,180000
4,1123,1,264,732,772,100000
6,1080,1,288,1080,1080,136000
6,1199,2,530,1199,1199,153900
6,1586,2,435,1362,1586,181000
6,754,0,0,520,520,84500
6,958,2,440,1078,958,128000
5,840,0,0,672,840,87000
6,1348,2,453,660,660,155000
5,1053,2,750,1008,1053,150000
7,2157,2,487,924,1216,226000
6,2054,2,390,992,1022,244000
5,1327,2,624,1063,1327,150750
8,1296,2,471,1267,1296,220000
5,1721,2,440,1461,1721,180000
7,1682,2,530,1304,1682,174000
5,1214,1,318,1214,1214,143000
7,1959,3,766,1907,1959,171000
8,1852,3,660,1004,1004,230000
6,1764,2,470,928,928,231500
4,864,0,0,864,864,115000
7,1734,2,660,1734,1734,260000
5,1385,2,720,910,910,166000
7,1501,2,577,1490,1501,204000
5,1728,2,504,1728,1728,125000
6,1709,2,380,970,970,130000
5,875,1,180,715,875,105000
7,2035,2,434,884,884,222500
7,1080,0,0,1080,1080,141000
5,1344,1,240,896,896,115000
5,969,2,440,969,969,122000
8,1710,3,866,1710,1710,372402
6,1993,2,495,825,1097,190000
6,1252,2,564,1602,1252,235000
6,1200,1,312,1200,1200,125000
6,1096,0,0,572,572,79000
5,1040,2,625,0,1040,109500
8,1968,3,680,774,774,269500
7,1947,2,678,991,991,254900
7,2462,2,576,1392,1392,320000
6,1232,2,516,1232,1232,162500
9,2668,3,726,1572,1572,412500
7,1541,2,532,1541,1541,220000
4,882,0,0,882,882,103200
6,1616,1,216,1149,1149,152000
5,1355,0,0,644,808,127500
5,1867,1,303,1617,1867,190000
8,2161,3,789,1582,1610,325624
7,1720,2,440,840,840,183500
8,1707,2,511,1686,1707,228000
5,1382,2,660,720,854,128500
6,1656,2,528,1080,1656,215000
7,1767,2,504,1064,1064,239000
6,1362,2,504,1362,1362,163000
6,1651,2,616,1606,1651,184000
6,2158,2,576,1202,2158,243000
6,2060,2,521,1151,1164,211000
5,1920,2,451,1052,1252,172500
9,2234,3,1166,2216,2234,501837
5,968,2,480,968,968,100000
6,1525,2,440,756,769,177000
7,1802,1,216,793,901,200100
5,1340,1,252,0,1340,120000
7,2082,2,484,1362,1362,200000
5,1252,2,576,504,936,127000
10,3608,3,840,1107,1518,475000
7,1217,2,497,1188,1217,173000
5,1656,1,180,660,808,135000
5,1224,2,528,1086,1224,153337
8,1593,2,682,1593,1593,286000
8,2727,2,440,853,1549,315000
7,1479,2,484,725,725,184000
7,1431,2,666,1431,1431,192000
7,1709,2,380,970,970,130000
5,864,1,352,864,864,127000
6,1456,2,440,855,855,148500
7,1726,3,786,1726,1726,311872
8,3112,2,795,1360,1360,235000
6,2229,0,0,755,929,104000
8,1713,3,856,1713,1713,274900
4,1121,2,440,1121,1121,140000
6,1279,2,473,1196,1279,171500
6,1310,1,398,617,865,112000
6,848,2,420,848,848,149000
5,1284,1,240,720,720,110000
7,1442,2,500,1424,1442,180500
5,1696,1,349,1140,1696,143900
4,1100,1,312,1100,1100,141000
7,2062,2,454,1157,1180,277000
6,1092,2,504,1092,1092,145000
5,864,0,0,864,864,98000
6,1212,2,460,1212,1212,186000
7,1852,2,644,900,932,252678
5,990,2,576,990,990,156000
6,1392,1,299,689,689,161750
5,1236,1,447,1070,1236,134450
7,1436,2,484,1436,1436,210000
4,1328,1,210,686,810,107000
7,1954,2,431,798,1137,311500
7,1248,2,438,1248,1248,167240
7,1498,2,675,1498,1498,204900
6,2267,2,390,1010,1010,200000
6,1552,2,434,713,811,179900
4,864,2,576,864,864,97000
10,2392,3,968,2392,2392,386250
5,1302,1,280,630,630,112000
7,2520,3,721,1203,1214,290000
6,987,1,280,483,483,106000
5,912,1,336,912,912,125000
7,1555,2,430,1373,1555,192500
6,1194,1,312,1194,1194,148000
8,2794,3,810,1462,1490,403000
6,987,1,288,483,483,94500
5,894,1,308,894,894,128200
6,1960,2,440,860,860,216500
6,987,1,264,483,483,89500
7,1414,2,494,1414,1414,185500
7,1744,2,457,996,1014,194500
8,1694,3,818,1694,1694,318000
6,1487,1,220,735,798,113000
8,1566,2,750,1566,1566,262500
5,866,0,0,686,866,110500
5,1440,1,352,540,889,79000
6,1217,1,288,626,626,120000
7,2110,2,463,948,1222,205000
7,1872,2,604,1845,1872,241500
6,1928,1,440,1020,908,137000
